neuron_id,cell_type,observed,seed,teacher_rate_hz,student_rate_hz,fluctuation_r2
3953,excitatory,0,44,0.0,0.0,
3954,inhibitory,0,44,17.158385093167702,16.304347826086957,0.6609591245651245
3955,excitatory,0,44,35.40372670807453,30.667701863354036,0.6347832083702087
3957,excitatory,0,44,0.0,0.0,
3958,excitatory,0,44,0.0,0.0,
3959,excitatory,0,44,1.0869565217391304,1.1645962732919255,0.46665889024734497
3960,excitatory,0,44,0.0,0.0,
3961,excitatory,0,44,0.0,0.0,
3962,excitatory,0,44,0.2329192546583851,0.0,-0.018403053283691406
3963,excitatory,0,44,0.0,0.0,
3964,excitatory,0,44,11.645962732919253,12.267080745341614,0.866018533706665
3965,inhibitory,0,44,0.0,0.0,
3966,excitatory,0,44,0.0,0.0,
3968,excitatory,0,44,3.571428571428571,2.251552795031056,0.7549805641174316
3969,excitatory,0,44,14.67391304347826,11.102484472049689,0.6538146734237671
3970,inhibitory,0,44,0.0,0.0,
3971,inhibitory,0,44,0.0,0.0,
3972,inhibitory,0,44,13.27639751552795,15.062111801242235,0.046420156955718994
3973,excitatory,0,44,0.07763975155279502,0.0,-0.013940095901489258
3974,excitatory,0,44,2.0962732919254656,1.2422360248447204,0.5232455730438232
3975,inhibitory,0,44,103.33850931677019,94.72049689440993,0.9364686012268066
3976,excitatory,0,44,1.0093167701863353,0.6987577639751552,0.08259004354476929
3977,excitatory,0,44,0.15527950310559005,0.07763975155279502,0.30459606647491455
3979,excitatory,0,44,1.7080745341614907,0.9316770186335404,0.45080894231796265
3982,excitatory,0,44,0.0,0.0,
3983,inhibitory,0,44,0.9316770186335404,1.3198757763975155,-0.5172035694122314
3984,inhibitory,0,44,0.15527950310559005,0.15527950310559005,0.9992094039916992
3985,inhibitory,0,44,17.934782608695652,12.732919254658384,0.47468650341033936
3986,excitatory,0,44,3.571428571428571,1.8633540372670807,0.43079131841659546
3987,excitatory,0,44,1.0093167701863353,0.8540372670807453,0.7772026062011719
3988,excitatory,0,44,0.8540372670807453,0.3881987577639751,0.29506248235702515
3989,excitatory,0,44,0.07763975155279502,0.0,-0.013909578323364258
3990,excitatory,0,44,0.0,0.0,
3991,inhibitory,0,44,2.251552795031056,2.329192546583851,-0.8776098489761353
3992,excitatory,0,44,21.50621118012422,22.360248447204967,0.9872236251831055
3994,excitatory,0,44,0.0,0.0,
