# Cumulative fraction of synaptic input volume, largest presynaptic partners first.
# Per-cell curves resampled from original presynaptic partners count onto 390 inputs.
# Dense connectome 230219a-rsg11-std-spl-edges_ariadne-20260417T142327_run-20260417T143444_connectome-20260421T131207.hdf5; synapse score > 138.6; proofread cells only.
x_inputs_resampled,spiny_median,spiny_q25,spiny_q75,smooth_median,smooth_q25,smooth_q75
163,0.7374103176667743,0.7261872295772439,0.756804536578393,0.851406090456073,0.7322385311932402,0.8888324894423467
164,0.7397207418988743,0.7285973113249611,0.7589871392984172,0.8537784028156388,0.7345624811021605,0.8903886735776831
165,0.742040406041417,0.7309563856468674,0.7612766760253252,0.8561507151752046,0.736872698773547,0.8919448577130196
166,0.7443855781366657,0.7333022634414625,0.7633988788461935,0.8585230275347704,0.7391712832646868,0.8934548828047063
167,0.7466502838265237,0.7356409058964459,0.7656768755493644,0.8608953398943362,0.7414580866006024,0.8949667587136124
168,0.7488184994093748,0.7379661325442665,0.7678833553874279,0.8627947755638593,0.7437174935218118,0.8962097186928386
169,0.7509689958621367,0.7402613987981622,0.7699538927039726,0.8644131890352327,0.7459451232350449,0.8973010661047052
170,0.7531524024681642,0.7425321041398396,0.7720161535388322,0.866031602506606,0.7481639269285502,0.898428272312601
171,0.7553655045921361,0.7447916307461596,0.7740896629030269,0.8676500159779794,0.7503653484602593,0.899425966297265
172,0.7575621386121335,0.7470378352101192,0.7760722838234007,0.8695233467924339,0.7525409905494845,0.900423660281929
173,0.7597100540838537,0.7493051978088476,0.7780463807159936,0.8717368941310504,0.7547203525544859,0.901421354266593
174,0.7618466009795759,0.751550178807501,0.7800126120980001,0.8739071386502151,0.756932901972584,0.9024165905882569
175,0.7639759539125017,0.753710691729305,0.7819709084270146,0.8760557317596539,0.7591384626643054,0.903643550466942
176,0.7660967542942245,0.7558552901355735,0.7839252191656829,0.8782043248690928,0.7613406265225023,0.9050468815187949
177,0.7682631051578833,0.7579975590214411,0.7859216763169812,0.8802207352669058,0.7635627753202154,0.9064502125706478
178,0.7704226578843294,0.7601414048864544,0.7878307340020186,0.8816084187404122,0.7657691732613863,0.907673139482001
179,0.7725699628217024,0.7622798251989292,0.7897401734707963,0.8829961022139186,0.7679614992725983,0.9088039692349716
180,0.7746576224091803,0.764407530342572,0.791645368693176,0.884383785687425,0.7701397138314933,0.909934798987942
181,0.776734498609158,0.7665268460270089,0.7935276774833376,0.8857714691609314,0.772306113617371,0.9110656287409126
182,0.7788369839683207,0.7686388126678585,0.7954295917016421,0.8871591526344378,0.774452968015081,0.9121884852425789
183,0.7809279828860691,0.770736497397404,0.7974075917242469,0.8885468361079442,0.7765798905653201,0.9135579072707509
184,0.7830110525177483,0.7728255538118889,0.7993738776546788,0.8899345195814505,0.7786972495261761,0.914927329298923
185,0.7850881142943531,0.7749113487218078,0.8012677835387925,0.8911765583683019,0.78080209166823,0.916296751327095
186,0.7871591204857666,0.7769881258410952,0.8031138911100711,0.8925802336759595,0.7828951086165417,0.917491810135646
187,0.7892187048041368,0.7791096034308362,0.8049558530261611,0.8938656979467081,0.7849793488992598,0.9184710604037745
188,0.7912408666316945,0.781197432948342,0.8067879788953226,0.8951511622174566,0.7870527786340409,0.9193778132919515
189,0.7932553737856147,0.7832427066798191,0.8086101602191187,0.8965671457576657,0.7891090390671573,0.9204053770115109
190,0.7952627524225838,0.785333399981883,0.8104274811582072,0.8980964808559885,0.7911588319247569,0.9214358907963285
191,0.7972620738720047,0.7874225807747742,0.8122418222699666,0.8996258159543112,0.7932053126925259,0.9224160325103584
192,0.7992843277202837,0.7894051470166754,0.8140081403372886,0.9011341219255972,0.7952391425027829,0.9233925442252398
193,0.8012823704890024,0.7913525607224741,0.8157696628253575,0.9025170162698312,0.7972555238752908,0.9242580618515144
194,0.8032204778380165,0.7933235451223345,0.8175184438190553,0.9040710059742316,0.799261182713562,0.9250896011963727
195,0.8050930468956625,0.7953265237802013,0.8192762328221381,0.9052117861390147,0.8012550028363137,0.9259211405412312
196,0.807035690991712,0.7973265821834397,0.8211024799696617,0.9065585871581417,0.8032347120530944,0.9267526798860897
197,0.8089549316081966,0.7992461389742336,0.8229515295562964,0.9082814487514226,0.8051940880669054,0.927584219230948
198,0.8108324085519197,0.8011352037796499,0.8248059334972376,0.9100536539178836,0.8071480743576754,0.9284154250466639
199,0.8127364149696712,0.8030205100076144,0.826674231368996,0.9115049738470646,0.8090907511335911,0.9292396946903905
200,0.8146226260208798,0.8049725568718575,0.8284587099858894,0.9126361624983709,0.811021140091854,0.9300338094244237
201,0.8164758803667691,0.8069290222645316,0.8302557931232787,0.9137673511496771,0.8129440134156347,0.9308279241584569
202,0.818295182589718,0.8088488068642878,0.8320643140905143,0.914870747284045,0.8148624880739872,0.9317818651860634
203,0.8201361079109839,0.8107522867822318,0.8338622090012134,0.9159861942920317,0.816776886337844,0.9327309179812923
204,0.8219788738272162,0.8126498404980427,0.8356506620265699,0.9171609171035958,0.8186774785572191,0.9335075298787396
205,0.8238101042976497,0.8145386610332459,0.8373409052582064,0.918292105754902,0.8205619302513514,0.9342853583738084
206,0.8256062468246441,0.8164032277121409,0.8390671950799009,0.9194232944062083,0.8224302346454071,0.9350706896016049
207,0.8273534341986368,0.8182217044577984,0.8407873995883943,0.9204378494838169,0.8242804363135072,0.9358560208294013
208,0.8291326656360624,0.8200398356151767,0.8424451160707869,0.9213577479739523,0.8261158202157355,0.9366413520571979
209,0.8309204236352394,0.8218841577507745,0.8440767373584759,0.922321821644989,0.8279401768465522,0.9374138318146414
210,0.8326787862265834,0.8237078574733614,0.8456959211718474,0.9232858953160258,0.8297474083410351,0.9381723249488225
211,0.8344824000746589,0.8255154931886316,0.8473088938785808,0.9242499689870625,0.8315481920087406,0.9389183108867449
212,0.8363238975583862,0.8273125828292097,0.84895363417866,0.9252140426580993,0.833341513237897,0.9396106945549869
213,0.8382008217014678,0.8290663631746081,0.850590445595253,0.9261781163291359,0.8351269393495351,0.9405613636181449
214,0.8399258560311397,0.8307966549710742,0.8522092434551695,0.9271371651191603,0.8369059970551681,0.9413223313931443
