component,eigenvalue,variance_fraction,cumulative_fraction
116,0.0017204019705730248,0.0011815670936754198,0.8155256901371118
117,0.001708867084214023,0.0011736449671118571,0.8166993351042237
118,0.0016860204635988805,0.0011579539742030617,0.8178572890784267
119,0.0016722032944438538,0.001148464382421271,0.8190057534608479
120,0.0016627915340432075,0.0011420004126205057,0.8201477538734684
121,0.0016341536580971032,0.00112233200231323,0.8212700858757817
122,0.0016074048625894812,0.0011039610069831492,0.8223740468827648
123,0.0015917230259469945,0.0010931907669682625,0.8234672376497331
124,0.0015800573110230415,0.0010851787877249753,0.824552416437458
125,0.00155704917512472,0.0010693768665871997,0.8256217933040452
126,0.0015504789024189342,0.0010648644223105609,0.8266866577263557
127,0.0015459867593758854,0.0010617792314711308,0.8277484369578268
128,0.0015212494432693831,0.0010447897143714994,0.8287932266721983
129,0.001494858293522801,0.0010266643491148929,0.8298198910213133
130,0.0014930519271487213,0.0010254237419177136,0.830845314763231
131,0.0014654419381830454,0.001006461281413371,0.8318517760446443
132,0.001460236874390801,0.0010028864586669468,0.8328546625033113
133,0.0014470765662445762,0.0009938479971247128,0.8338485105004361
134,0.0014240144187870271,0.0009780089810043965,0.8348265194814405
135,0.0014097756672917738,0.0009682298476916106,0.8357947493291321
136,0.0014004504027335097,0.0009618252829850307,0.8367565746121172
137,0.0013896488494762568,0.0009544068074731121,0.8377109814195903
138,0.0013812993510176296,0.0009486723960994018,0.8386596538156897
139,0.001362011800440977,0.0009354257621912911,0.839595079577881
140,0.0013468236386117677,0.0009249945766092184,0.8405200741544903
141,0.0013241399959901944,0.0009094155165146657,0.841429489671005
142,0.0013210795850156594,0.0009073136351157334,0.8423368033061207
143,0.0013063432071143304,0.0008971927334276376,0.8432339960395483
144,0.0013013450758775102,0.0008937600313613112,0.8441277560709096
145,0.0012853640967539404,0.0008827843411562862,0.8450105404120659
146,0.0012672118712042462,0.0008703174451904853,0.8458808578572564
147,0.0012605382024819748,0.0008657339888290047,0.8467465918460855
148,0.0012422139720924849,0.0008531489604371011,0.8475997408065226
149,0.0012353619722049309,0.000848443026747485,0.84844818383327
150,0.001223563612452769,0.0008403399474201255,0.8492885237806902
151,0.0012102101184154202,0.0008311688063670454,0.8501196925870572
152,0.0012090540034948763,0.0008303747899859975,0.8509500673770433
153,0.0011846744038764305,0.0008136309515349506,0.8517636983285782
154,0.0011780539399560076,0.000809084036077378,0.8525727823646556
155,0.0011534264285143537,0.0007921699325037341,0.8533649522971594
156,0.0011509217422839934,0.0007904497212505525,0.8541554020184099
157,0.0011365531685803118,0.0007805814264207892,0.8549359834448307
158,0.0011321082161195554,0.0007775286459366841,0.8557135120907674
159,0.0011229205475874996,0.0007712185817826315,0.85648473067255
160,0.0011096277519444654,0.0007620891282110748,0.8572468198007611
161,0.0010989852851901675,0.0007547799128489088,0.85800159971361
162,0.0010940154614162852,0.000751366652266192,0.8587529663658762
163,0.001080711346099658,0.0007422294243755765,0.8594951957902518
164,0.001067549255249871,0.0007331897384776961,0.8602283855287295
165,0.0010618120447480756,0.0007292494389114541,0.860957634967641
166,0.0010396332740980347,0.0007140171234255948,0.8616716520910666
167,0.0010326902762862137,0.0007092486926249861,0.8623809007836916
168,0.0010284900535088388,0.0007063639917790559,0.8630872647754706
169,0.0010182450241774223,0.0006993277352885397,0.8637865925107592
170,0.0010120919046873488,0.0006951017906329997,0.8644816943013922
171,0.0009974005810733343,0.0006850118320990214,0.8651667061334912
172,0.0009891315278603876,0.0006793326702871953,0.8658460388037784
173,0.0009817200048461432,0.0006742424577337113,0.8665202812615121
174,0.0009678380552024688,0.0006647083748998248,0.867184989636412
175,0.000961124755505341,0.0006600977000995248,0.8678450873365116
176,0.000957582959032115,0.000657665204533465,0.868502752541045
177,0.0009532959361248756,0.0006547208896095873,0.8691574734306546
178,0.0009471134174747637,0.0006504747536960289,0.8698079481843507
179,0.0009365206917367953,0.0006431997003199022,0.8704511478846706
180,0.0009270707276393342,0.0006367094923307455,0.8710878573770013
181,0.0009205043131156086,0.0006321996978423781,0.8717200570748437
182,0.0009082478710417658,0.0006237820089024102,0.8723438390837461
183,0.000905389898315972,0.0006218191615067547,0.8729656582452529
184,0.0009030942727222085,0.0006202425324936605,0.8735859007777466
185,0.0008993115959360365,0.0006176446010258988,0.8742035453787724
186,0.0008911152532707799,0.0006120153766077651,0.8748155607553801
187,0.0008863280719843263,0.0006087275543567546,0.8754242883097368
188,0.0008707678029322478,0.000598040806611082,0.8760223291163479
189,0.0008618702378654055,0.0005919299846772317,0.8766142591010252
190,0.0008566523837825617,0.0005883463775962455,0.8772026054786214
191,0.0008496605325341914,0.0005835443943968214,0.8777861498730182
192,0.0008396444598451819,0.0005766653846655939,0.8783628152576838
193,0.000836598184935413,0.0005745732118750263,0.8789373884695588
194,0.000832232656909637,0.0005715749798629711,0.8795089634494218
195,0.0008225459822395167,0.0005649221997376722,0.8800738856491594
196,0.0008189529260634073,0.0005624544991560436,0.8806363401483155
197,0.000814535698645029,0.0005594207601507934,0.8811957609084663
198,0.0008128765583345482,0.0005582812673879471,0.8817540421758543
199,0.0008083497003934146,0.0005551722344569948,0.8823092144103113
200,0.0008015814300806388,0.0005505238059969807,0.8828597382163083
201,0.0007908650328244909,0.0005431638153801363,0.8834029020316884
202,0.0007864531208244997,0.0005401337269888489,0.8839430357586772
203,0.000782586908832203,0.000537478423783314,0.8844805141824604
204,0.0007768536339435976,0.0005335408271848194,0.8850140550096453
205,0.0007696926918402393,0.0005286227128756241,0.8855426777225208
206,0.0007667058585240142,0.0005265713643994482,0.8860692490869203
207,0.0007595858464147708,0.0005216813606917388,0.8865909304476121
208,0.0007541326876313658,0.0005179361470234982,0.8871088665946355
209,0.0007511735811685383,0.0005159038412699801,0.8876247704359055
210,0.000745237248702948,0.0005118267853153637,0.8881365972212208
