neuron_id,cell_type,assembly,odour_hz,odour_repeat_hz,baseline_hz
569,inhibitory,2,0.0,0.0,0.0
570,inhibitory,2,142.44444,173.33333,63.22222
571,excitatory,2,27.333334,22.222221,22.11111
572,inhibitory,2,4.0,0.44444445,7.4444447
573,excitatory,2,0.0,0.0,0.0
574,excitatory,2,0.0,0.0,0.0
575,excitatory,2,17.333334,17.88889,14.444445
576,excitatory,2,0.8888889,1.0,0.5555556
577,excitatory,2,3.7777777,4.111111,5.111111
578,excitatory,2,0.0,0.0,0.0
579,excitatory,2,0.0,0.0,0.0
580,excitatory,2,0.0,0.0,0.0
581,excitatory,2,0.33333334,1.2222222,2.2222223
582,excitatory,2,0.33333334,2.3333333,1.6666666
583,inhibitory,2,4.2222223,3.0,5.111111
584,excitatory,2,0.0,0.0,0.0
585,excitatory,2,0.0,0.0,0.5555556
586,inhibitory,2,65.44444,66.888885,110.22222
587,inhibitory,2,0.11111111,0.44444445,0.0
588,inhibitory,2,97.22222,90.0,75.333336
589,excitatory,2,37.77778,39.555557,38.88889
590,excitatory,2,0.0,0.0,0.11111111
591,excitatory,2,0.0,0.0,0.0
592,inhibitory,2,0.11111111,1.3333334,1.0
593,excitatory,2,49.22222,43.666668,18.222221
594,excitatory,2,0.0,0.0,0.0
595,inhibitory,2,1.3333334,1.5555556,1.3333334
596,excitatory,2,0.11111111,0.0,0.0
597,excitatory,2,12.444445,12.333333,13.555555
598,excitatory,2,0.0,0.0,0.0
599,excitatory,2,1.1111112,0.44444445,0.7777778
600,excitatory,2,0.8888889,0.6666667,0.7777778
601,excitatory,2,1.6666666,2.8888888,8.222222
602,excitatory,2,0.0,0.0,0.0
603,inhibitory,2,51.11111,37.88889,21.444445
604,excitatory,2,0.44444445,0.7777778,0.5555556
605,excitatory,2,1.0,0.44444445,0.5555556
606,inhibitory,2,92.888885,85.77778,131.22223
607,excitatory,2,0.0,0.0,0.0
608,excitatory,2,0.44444445,0.22222222,0.7777778
609,inhibitory,2,18.333334,20.333334,36.22222
610,excitatory,2,0.33333334,1.1111112,0.22222222
611,excitatory,2,0.0,0.11111111,0.0
612,excitatory,2,0.6666667,1.6666666,1.0
613,excitatory,2,2.4444444,3.1111112,0.6666667
614,excitatory,2,1.0,0.5555556,0.0
615,excitatory,2,3.4444444,3.2222223,1.5555556
616,inhibitory,2,18.222221,16.333334,18.333334
617,excitatory,2,0.0,0.0,0.0
618,inhibitory,2,0.0,0.0,0.0
619,excitatory,2,3.4444444,9.777778,17.555555
620,inhibitory,2,0.6666667,0.11111111,0.7777778
621,excitatory,2,1.3333334,0.7777778,0.0
622,excitatory,2,3.5555556,2.6666667,3.7777777
623,excitatory,2,0.0,0.11111111,0.0
624,excitatory,2,0.11111111,0.0,0.0
625,excitatory,2,5.111111,5.0,6.2222223
626,excitatory,2,0.0,0.0,0.11111111
627,excitatory,2,0.11111111,0.0,0.0
628,inhibitory,2,0.22222222,1.8888888,0.0
629,excitatory,2,1.1111112,1.2222222,0.33333334
630,excitatory,2,0.0,0.11111111,0.22222222
631,excitatory,2,0.0,0.33333334,0.0
632,excitatory,2,0.0,0.0,0.0
633,inhibitory,2,0.8888889,1.0,2.6666667
634,excitatory,2,0.0,0.11111111,0.0
635,excitatory,2,0.0,0.5555556,0.0
636,excitatory,2,0.0,0.0,0.0
637,excitatory,2,1.0,0.5555556,2.3333333
638,excitatory,2,0.44444445,0.22222222,0.0
639,excitatory,2,3.5555556,1.3333334,2.6666667
640,excitatory,2,0.0,0.0,0.11111111
641,excitatory,2,2.3333333,1.8888888,2.2222223
642,excitatory,2,0.0,0.0,0.0
643,excitatory,2,0.0,0.0,0.0
644,inhibitory,2,2.0,1.6666666,3.7777777
645,excitatory,2,27.11111,32.11111,52.555557
646,excitatory,2,0.22222222,0.0,1.0
647,excitatory,2,0.6666667,0.44444445,0.5555556
648,excitatory,2,2.1111112,1.5555556,1.5555556
649,excitatory,2,0.0,0.0,0.0
650,excitatory,2,6.888889,9.0,10.111111
651,excitatory,2,5.6666665,9.555555,5.7777777
652,excitatory,2,2.1111112,0.44444445,5.3333335
653,excitatory,2,4.5555553,5.3333335,6.3333335
654,excitatory,2,0.0,0.0,0.0
