error_model,level,seed,neuron_id,cell_type,observed,kappa_lost,fluctuation_r2,teacher_rate_hz,student_rate_hz
synapse_dropout,0.0,44,1820,excitatory,1,0.0,0.6533347368240356,0.8540372670807453,1.2344720496894408
synapse_dropout,0.0,44,1821,inhibitory,1,0.0,0.4878345727920532,1.0869565217391304,0.4852484472049689
synapse_dropout,0.0,44,1822,inhibitory,1,0.0,0.7977237105369568,3.7267080745341614,2.282608695652174
synapse_dropout,0.0,44,1823,inhibitory,1,0.0,0.8497149348258972,4.192546583850931,2.558229813664596
synapse_dropout,0.0,44,1827,excitatory,1,0.0,0.9840009212493896,3.6490683229813663,3.43167701863354
synapse_dropout,0.0,44,1832,inhibitory,1,0.0,0.8587507009506226,15.6055900621118,11.281055900621118
synapse_dropout,0.0,44,1833,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1834,excitatory,1,0.0,0.9984251856803894,0.15527950310559005,0.15527950310559005
synapse_dropout,0.0,44,1836,inhibitory,1,0.0,0.982185423374176,3.493788819875776,3.27639751552795
synapse_dropout,0.0,44,1837,excitatory,1,0.0,0.9577124714851379,5.900621118012422,6.0559006211180115
synapse_dropout,0.0,44,1840,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1841,excitatory,1,0.0,0.8942160606384277,9.70496894409938,10.656055900621118
synapse_dropout,0.0,44,1842,excitatory,1,0.0,0.8417536020278931,0.5434782608695652,0.6793478260869564
synapse_dropout,0.0,44,1844,inhibitory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1845,excitatory,1,0.0,0.9185090661048889,0.3105590062111801,0.33773291925465837
synapse_dropout,0.0,44,1849,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1852,excitatory,1,0.0,0.9784570336341858,4.503105590062112,4.444875776397515
synapse_dropout,0.0,44,1853,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1854,excitatory,1,0.0,0.7782819867134094,0.07763975155279502,0.042701863354037264
synapse_dropout,0.0,44,1855,excitatory,1,0.0,0.8265796899795532,1.0093167701863353,1.125776397515528
synapse_dropout,0.0,44,1856,excitatory,1,0.0,0.823040246963501,0.6987577639751552,0.7996894409937888
synapse_dropout,0.0,44,1857,excitatory,1,0.0,0.8196235299110413,1.2422360248447204,1.8517080745341614
synapse_dropout,0.0,44,1859,inhibitory,1,0.0,0.9441192746162415,10.481366459627328,8.474378881987576
synapse_dropout,0.0,44,1860,inhibitory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1861,excitatory,1,0.0,0.8701196908950806,1.0093167701863353,1.1607142857142856
synapse_dropout,0.0,44,1862,excitatory,1,0.0,0.9993240833282471,0.07763975155279502,0.07763975155279502
synapse_dropout,0.0,44,1864,excitatory,1,0.0,0.9954648613929749,13.975155279503104,14.04114906832298
synapse_dropout,0.0,44,1865,inhibitory,1,0.0,0.9169510006904602,9.394409937888199,7.577639751552795
synapse_dropout,0.0,44,1866,excitatory,1,0.0,0.5550683736801147,0.4658385093167702,0.3881987577639751
synapse_dropout,0.0,44,1869,excitatory,1,0.0,0.9390013217926025,0.07763975155279502,0.07375776397515527
synapse_dropout,0.0,44,1872,inhibitory,1,0.0,0.9092753529548645,19.487577639751553,15.91614906832298
synapse_dropout,0.0,44,1875,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1878,excitatory,1,0.0,,0.0,0.19409937888198756
synapse_dropout,0.0,44,1879,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1881,excitatory,1,0.0,0.9602681398391724,41.45962732919254,42.43788819875776
synapse_dropout,0.0,44,1882,excitatory,1,0.0,0.874366283416748,1.0093167701863353,1.1335403726708073
synapse_dropout,0.0,44,1885,excitatory,1,0.0,0.9899737238883972,7.763975155279502,7.861024844720496
synapse_dropout,0.0,44,1890,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1891,excitatory,1,0.0,0.9822832942008972,13.354037267080745,14.002329192546583
synapse_dropout,0.0,44,1894,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1895,excitatory,1,0.0,0.499931275844574,0.3105590062111801,0.2911490683229813
synapse_dropout,0.0,44,1898,excitatory,1,0.0,0.8691533803939819,3.7267080745341614,4.7476708074534155
synapse_dropout,0.0,44,1899,excitatory,1,0.0,0.8839747905731201,1.9409937888198756,2.2360248447204967
synapse_dropout,0.0,44,1901,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1902,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1903,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1905,excitatory,1,0.0,0.0943596363067627,0.07763975155279502,0.1513975155279503
synapse_dropout,0.0,44,1906,excitatory,1,0.0,0.4423719048500061,0.15527950310559005,0.22903726708074532
synapse_dropout,0.0,44,1907,excitatory,1,0.0,,0.0,0.0
